datapoint_id,type,top1_rmsd,top5_mean_rmsd,top5_min_rmsd,rmsd_under_2A,rmsd_model_0,rmsd_model_1,rmsd_model_2,rmsd_model_3,rmsd_model_4
3F9N_ALLOSTERIC_38M,allosteric,20.665749160045642,20.54681414741808,20.44318297939169,False,20.665749160045642,20.585421002220535,20.562821211960564,20.44318297939169,20.476896383471956
3PYY_ALLOSTERIC_3YY,allosteric,23.88293938891487,23.645513711110798,23.47623373023503,False,23.88293938891487,23.47623373023503,23.570727715120732,23.571588088933154,23.72607963235021
5MO4_ALLOSTERIC_AY7,allosteric,27.600736062982364,26.30699377000128,24.87302607422,False,27.600736062982364,27.43832265128875,25.793425175562486,25.829458885952818,24.87302607422
3K5V_ALLOSTERIC_STJ,allosteric,24.94822014622799,25.297062479960054,24.94822014622799,False,24.94822014622799,25.399083808490467,25.343979230969932,25.335076524248095,25.45895268986378
3LW0_ALLOSTERIC_CCX,allosteric,2.2168402162786536,8.505730273975418,2.2168402162786536,False,2.2168402162786536,9.449204674361289,13.846493840476953,13.63960629621268,3.3765063425475126
